Tárgy kódja;Tárgy neve;Kurzus kódja;Kurzus típusa;Óraszám:;Órarend infó;Oktatók;Várólista;;;;;;;;;;;;;;
NIXAP1SBNE;Adatpárhuzamos programozás;AP1_LA_04_SZR;Labor;1;CS:13:30-15:10(BA.2.10);Dr. Szénási Sándor;;;;;;;;;;;;;;;464250340
NIXAP1SBNE;Adatpárhuzamos programozás;AP1_EA_SZTF;Elmélet;1;K:11:40-13:20(BA.F.05);Dr. Szénási Sándor;;;;;;;;;;;;;;;467923410
NAIDP2SVND;Deep Learning II.;DP2_LA_VAL;Labor;2;H:11:40-13:20(BA.2.10);Kertész Gábor, Dr. Vámossy Zoltán Imre;;;;;;;;;;;;;;;467903641
NIXJA1SBNE;J2EE fejlesztés;JA1_LA_SZRF;Labor;2;SZE:10:45-12:25(BA.2.14);Karóczkai Krisztián;;;;;;;;;;;;;;;464250465
NIXJA1SBNE;J2EE fejlesztés;JA1_EA_SZRF;Elmélet;1;SZE:09:50-10:35(BA.2.14);Karóczkai Krisztián;;;;;;;;;;;;;;;464250448
NAIKA1SAND;Korszerű számítógép architektúrák;KA1_EA;Elmélet;2;SZE:08:00-09:40(BA.F.06);Dr. Sima Dezső;;;;;;;;;;;;;;;464172479
NAISL2STND;Projektlabor II.;SL2_LA_SZRF;Labor;1;K:15:20-17:00(BA.2.10);Dr. Szénási Sándor;;;;;;;;;;;;;;;464250493
NIMRA1SKNC;Recent Advances in Intelligent Engineering;RA1_EA_ENG_V;Elmélet;2;;Dr Kovács Levente Adalbert;;;;;;;;;;;;;;;464251257
NNISD2SAND;Szakdolgozat II.;SD2_BS_ALL;Konzultáció;0;;Dr. Kárász Péter;;;;;;;;;;;;;;;468197606
NNISD2SAND;Szakdolgozat II.;01;Szakdolgozat;0;;Simon-Nagy Gabriella;;;;;;;;;;;;;;;473021131
NIRSK1SVNC;Személyes készségek fejlesztése;SK1_LA_V;Labor;2;SZE:08:00-09:40(BA.F.07);Dr Felde Imre Gábor;;;;;;;;;;;;;;;464251724
NAITA1SVNC;Tesztautomatizálás alapjai;TA1_LA_02;Labor;2;CS:08:00-09:40(BA.2.10);Dr Kovács Levente Adalbert;;;;;;;;;;;;;;;464250965
